id,name,active,make_id,created_at,updated_at
100,X6,t,bmw,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1001,Prius,t,toyota,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1004,Dokker Van,t,renault,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1005,Logan Van,t,renault,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1007,Trafic,t,renault,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
101,X6M,t,bmw,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1013,Creta,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1014,M600,f,noble,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1015,View C1 Minibus,f,foton,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1016,Tunland,f,foton,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1017,SUP,f,foton,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1019,9-5,t,saab,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1020,9-3,t,saab,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1021,Elise,t,lotus,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1022,Yumsun,f,zna,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1023,Rich,f,zna,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1024,Oting,f,zna,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1025,J4,f,jac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1026,J5,f,jac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1027,J6,f,jac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1028,M5 MPV,f,jac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1030,C8,f,spyker,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1034,X-Type,t,jaguar,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1036,MU-X,f,isuzu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1037,Commander,t,jeep,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1038,Emgrand 7,f,geely,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1039,GX2,f,geely,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
104,Z4,t,bmw,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1040,Emgrand 8,f,geely,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1041,GC6,f,geely,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1042,GC7,f,geely,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1043,Emgrand X7,f,geely,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1044,GC2,f,geely,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1045,CK,f,geely,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1047,Boxer,t,peugeot,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1048,F6,f,byd,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1049,S6,f,byd,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1050,F3,f,byd,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1051,MDX,t,acura,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1052,TLX,t,acura,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1054,488,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1055,GA5,f,gac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1056,GS5,f,gac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1057,GA3,f,gac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1058,A5,f,baic,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1059,A1,f,baic,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1061,DS5,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1062,Carry,t,suzuki,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1063,Vitara,t,suzuki,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1065,Spirra,f,oullim,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1066,Gran Max Pickup,f,daihatsu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1067,Gran Max Van,f,daihatsu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1068,X-Bow,f,ktm,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1070,Huayra,t,pagani,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1071,CCX,t,koenigsegg,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1072,Z7,f,cmc,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1073,350 C,t,mg,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1074,GS,t,mg,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1075,3,t,mg,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1076,550,t,mg,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1077,6,t,mg,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1078,5,t,mg,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1079,750,t,mg,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1080,Scorpio,f,mahindra,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1081,S30,f,dongfeng,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1082,H30 Cross,f,dongfeng,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1086,S2000,t,honda,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1087,Tivoli,f,ssangyong,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1088,Kyron,f,ssangyong,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1089,Rexton,f,ssangyong,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1090,Musso,f,ssangyong,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1091,Korando,f,ssangyong,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1092,Rodius,f,ssangyong,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1093,Actyon,f,ssangyong,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1094,Eclipse,t,mitsubishi,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1095,Montero,t,mitsubishi,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1096,MXT,f,international,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1097,H530,f,brilliance,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1098,FRV Cross,f,brilliance,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1099,FRV,f,brilliance,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
110,Veyron,t,bugatti,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1100,V5,f,brilliance,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1101,FSV,f,brilliance,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1106,Mini Van,f,king-long,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1107,Epica,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1108,Avalanche,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1110,S5,f,luxgen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1111,Luxgen7 MPV,f,luxgen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1112,Luxgen7 SUV,f,luxgen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1113,U6,f,luxgen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1114,Edge,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1116,1500,t,ram,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1123,M2,t,bmw,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1124,Waja,f,proton,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1125,Savvy,f,proton,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1126,GEN-2,f,proton,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1127,Wira,f,proton,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1129,Vantage,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1133,LR3,t,land-rover,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1139,Karma,f,fisker,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1140,Indica,t,tata,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1141,Indigo,t,tata,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1142,Arrizo 7,f,chery,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1143,E8,f,chery,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1144,V5 Crossover,f,chery,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1145,E5,f,chery,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1146,B11 Oriental Son,f,chery,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1147,S11 QQ,f,chery,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1148,Tiggo 5,f,chery,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1149,T11 Tiggo,f,chery,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1150,A11 Windcloud,f,chery,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1151,Mokka,t,opel,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1152,570 S,t,mclaren,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1153,540C,t,mclaren,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1154,675,t,mclaren,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1159,GLA-Class,t,mercedes-benz,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1167,GLC-Class,t,mercedes-benz,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1168,Florid,f,great-wall,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1169,Wingle,f,great-wall,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1172,CS75,f,changan,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1173,CS35,f,changan,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1174,Eado,f,changan,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1176,RS3,t,audi,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1178,S6,t,audi,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1179,RS Q3,t,audi,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1180,Speedster,f,pgo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1181,Cevennes,f,pgo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
1182,Legacy,t,subaru,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
12,147,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
125,ATS,t,cadillac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
126,BLS,t,cadillac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
127,CTS,t,cadillac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
129,DTS,t,cadillac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
13,156,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
130,Escalade,t,cadillac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
133,SLS,t,cadillac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
134,SRX,t,cadillac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
135,STS,t,cadillac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
136,XLR,t,cadillac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
137,XTS,t,cadillac,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
14,159,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
15,166,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
150,Aveo,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
154,Camaro,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
155,Caprice,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
156,Captiva,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
16,4C,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
163,Colorado,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
164,Corvette,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
166,Cruze,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
167,CSV CR8,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
17,Brera,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
172,Impala,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
176,Lumina,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
177,Malibu,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
18,Giulietta,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
180,Optra,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
183,Silverado,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
184,Sonic,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
185,Spark,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
187,Suburban,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
19,GTV,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
190,T-Series,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
191,Tahoe,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
193,TrailBlazer,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
194,Traverse,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
195,Trax,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
196,Uplander,t,chevrolet,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
199,200,t,chrysler,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
20,MiTo,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
201,300,t,chrysler,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
205,Crossfire,t,chrysler,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
206,Grand Voyager,t,chrysler,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
208,PT Cruiser,t,chrysler,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
209,Sebring,t,chrysler,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
21,Spider,t,alfa-romeo,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
212,C-Elysee,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
213,C2,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
214,C3,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
215,C4,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
216,C4 Picasso,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
217,C5,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
218,C8,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
219,DS3,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
22,DB7,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
220,DS4,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
221,Saxo,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
222,Xsara Picasso,t,citroen,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
224,Charade,f,daihatsu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
225,Materia,f,daihatsu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
226,Sirion,f,daihatsu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
227,Terios,f,daihatsu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
228,YRV,f,daihatsu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
229,Avenger,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
23,DB9,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
231,Caliber,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
233,Challenger,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
234,Charger,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
235,Dakota,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
237,Dart,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
238,Durango,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
244,Nitro,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
245,Ram,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
25,DBS,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
252,Viper,t,dodge,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
253,360,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
256,458,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
259,599,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
26,One 77,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
260,612 Scaglietti,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
261,California,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
263,F12,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
264,F430,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
266,FF,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
267,La Ferrari,t,ferrari,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
268,500,t,fiat,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
27,Rapide,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
272,Bravo,t,fiat,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
273,Ducato,t,fiat,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
274,Fiorino,t,fiat,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
275,Linea,t,fiat,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
277,Punto,t,fiat,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
280,Crown Victoria,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
282,EcoSport,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
284,Escape,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
286,Everest,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
288,Expedition,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
289,Explorer,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
290,F150,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
297,Fiesta,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
300,Figo,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
301,Five Hundred,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
302,FLEX,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
303,Focus,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
306,Freestar,t,ford,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
